,country,year,Adjusted savings: mineral depletion (current US$),Adjusted savings: energy depletion (current US$),Population (Total),Population growth (annual %),Urban population (% of total),Rural population (% of total population),Urban population,Rural population,Urban population growth (annual %),Population density (people per sq. km of land area),Urban_Pop_5_Years_Future
48,Albania,1984,7021306.14032298,207811627.03680602,2904429.0,2.1039366180201298,34.8188,65.18119999999999,1011287.0,1893142.0,2.8655836415988936,106.00105839416058,1167192.0
49,Albania,1985,7901763.04408291,141942781.96528402,2964762.0,2.05599460887143,35.083,64.917,1040127.0,1924635.0,2.8119043980477287,108.20299270072992,1197222.0
50,Albania,1986,5777606.8412852995,70729694.7607155,3022635.0,1.93322081083734,35.352,64.648,1068562.0,1954073.0,2.6970998280313183,110.31514598540146,1206249.0
51,Albania,1987,8766848.08972137,87076728.1840925,3083605.0,1.99703995612751,35.621,64.37899999999999,1098411.0,1985194.0,2.7550770625388057,112.54032846715329,1215081.0
52,Albania,1988,46875147.1039645,66728277.11502471,3142336.0,1.88671052887888,35.89,64.11,1127784.0,2014552.0,2.6390055389615066,114.68379562043795,1223716.0
53,Albania,1989,51536064.040637605,77555322.85204391,3227943.0,2.68786198874035,36.159,63.841,1167192.0,2060751.0,3.434621881561803,117.8081386861314,1232156.0
54,Albania,1990,19008305.210463896,99283897.0074975,3286542.0,1.79908559333186,36.428000000000004,63.571999999999996,1197222.0,2089320.0,2.540300884537125,119.94678832116787,1240399.0
55,Albania,1991,8156152.58409743,63008889.204046495,3266790.0,-0.602809679480026,36.9246,63.0754,1206249.0,2060541.0,0.7511671616445235,119.22591240875911,1250644.0
56,Albania,1992,2156777.01698982,41750766.145593606,3247039.0,-0.6064347262017591,37.4212,62.5788,1215081.0,2031958.0,0.7295196581884011,118.5050729927007,1260666.0
57,Albania,1993,2694926.3925976004,35590476.688073605,3227287.0,-0.6101657927302471,37.9178,62.0822,1223716.0,2003571.0,0.708138978705838,117.78419708029196,1270465.0
58,Albania,1994,1007498.94925657,30340590.0137301,3207536.0,-0.6138805069296029,38.4144,61.5856,1232156.0,1975380.0,0.6873349447775029,117.06335766423356,1280039.0
59,Albania,1995,1051850.07377461,31744848.072727002,3187784.0,-0.6177036584369631,38.911,61.089,1240399.0,1947385.0,0.6667621580392419,116.34248175182482,1289391.0
60,Albania,1996,2377045.34309059,37070515.0091111,3168033.0,-0.62151139901728,39.477,60.523,1250644.0,1917389.0,0.8225516591974791,115.62164233576642,1310018.0
61,Albania,1997,322489.146542727,25241293.8856599,3148281.0,-0.625430096900055,40.043,59.957,1260666.0,1887615.0,0.7981534103031043,114.9007664233577,1335494.0
62,Albania,1998,1777587.49581302,18019933.925912302,3128530.0,-0.629334392525913,40.609,59.391000000000005,1270465.0,1858065.0,0.7742822441969901,114.17992700729928,1358436.0
63,Albania,1999,466241.75221477705,23147412.2873065,3108778.0,-0.63335227398725,41.175,58.825,1280039.0,1828739.0,0.7507571028106355,113.45905109489051,1380418.0
64,Albania,2000,3502.02096563008,40294012.7246417,3089027.0,-0.6373568339434921,41.74100000000001,58.25899999999999,1289391.0,1799636.0,0.7279467661966273,112.73821167883213,1400715.0
65,Albania,2001,3386.88503147996,32330204.2990206,3064111.0,-0.8098676214821601,42.7536,57.2464,1310018.0,1754093.0,1.5870863697347162,111.8288686131387,1421911.0
66,Albania,2002,3053.24468367594,40342474.3603997,3051427.0,-0.41481283209294806,43.7662,56.2338,1335494.0,1715933.0,1.9260383281746456,111.36594890510948,1441361.0
67,Albania,2003,0.0,46923626.0934318,3033659.0,-0.583986832617291,44.7788,55.2212,1358436.0,1675223.0,1.7032777132141783,110.71748175182482,6178697.0
68,Albania,2004,0.0,78656792.34165621,3014579.0,-0.630929645739493,45.7914,54.2086,1380418.0,1634161.0,1.6052313864768568,110.0211313868613,6373919.0
69,Albania,2005,38746.7171659451,108432561.67620501,2992724.0,-0.7276175821952181,46.803999999999995,53.196000000000005,1400715.0,1592009.0,1.4596468681439176,109.22350364963505,6576723.0
70,Albania,2006,7664246.29729573,156347248.52818,2968028.0,-0.828625022685626,47.9076,52.0924,1421911.0,1546117.0,1.5018920981211945,108.3221897810219,6788957.0
71,Albania,2007,64629727.2716313,194471893.98323202,2940880.0,-0.918890293162996,49.0112,50.9888,1441361.0,1499519.0,1.3586064596281715,107.33138686131387,7092919.0
72,Algeria,1972,6429481.814158901,404218471.247117,15511892.0,2.7030629350621598,39.832,60.168,6178697.0,9333195.0,3.1206831926242056,6.512840192464332,7410987.0
73,Algeria,1973,8602420.23254007,646243752.504644,15935594.0,2.69482680456842,39.998000000000005,60.001999999999995,6373919.0,9561675.0,3.110710022318038,6.690736184470178,7745971.0
74,Algeria,1974,26978180.0550403,2379184723.1790104,16374671.0,2.71804661063533,40.164,59.836000000000006,6576723.0,9797948.0,3.1322088927163003,6.875087541041424,8101456.0
75,Algeria,1975,29710572.620932106,2197636147.4387803,16833516.0,2.76362093230528,40.33,59.67,6788957.0,10044559.0,3.1760724558410227,7.06773871203406,8479893.0
76,Algeria,1976,19319904.1978558,2686279265.14134,17311457.0,2.79966376058842,40.9724,59.0276,7092919.0,10218538.0,4.379964092094455,7.268407550782201,8931614.0
77,Algeria,1977,16842120.6595927,3226638428.06324,17808536.0,2.83093562668534,41.6148,58.3852,7410987.0,10397549.0,4.386666637327422,7.477111691452468,9409830.0
78,Algeria,1978,10840851.3674538,3768218884.8940296,18330535.0,2.8890355638395797,42.2572,57.7428,7745971.0,10584564.0,4.420920839930368,7.696278770982559,9910900.0
79,Algeria,1979,12585223.8514619,9056363063.66028,18884689.0,2.9783239381837303,42.8996,57.1004,8101456.0,10783233.0,4.4870961393413085,7.9289464845029265,10429068.0
80,Algeria,1980,21890073.0869298,9142525261.04247,19475204.0,3.07905787374106,43.542,56.458,8479893.0,10995311.0,4.565403318851416,8.176880767842,10959459.0
81,Algeria,1981,21662745.748212602,7193008438.705491,20103931.0,3.17733014127384,44.4272,55.5728,8931614.0,11172317.0,5.189928583913791,8.440858783914281,11485195.0
82,Algeria,1982,26851639.084446102,6043329308.426539,20766568.0,3.24290178275626,45.3124,54.6876,9409830.0,11356738.0,5.215776990792981,8.719074290224794,12019556.0
83,Algeria,1983,19085924.6615322,5780804645.77822,21453278.0,3.2533068300822903,46.1976,53.8024,9910900.0,11542378.0,5.188027402771169,9.007397113035008,12561599.0
84,Algeria,1984,19239027.5059989,5865150174.39333,22150483.0,3.19818479114932,47.0828,52.9172,10429068.0,11721415.0,5.09617458233514,9.300126378194092,13110972.0
85,Algeria,1985,16705434.2257049,5809597526.0207205,22847437.0,3.09796426246597,47.968,52.032,10959459.0,11887978.0,4.9606011589883705,9.592750258214583,13666952.0
86,Algeria,1986,12639817.105081698,3655669376.40806,23539383.0,2.9835946036307206,48.7914,51.2086,11485195.0,12054188.0,4.6855895677062085,9.883271473796466,14217980.0
87,Algeria,1987,10310759.0315681,3923721424.9399295,24225748.0,2.87411437096802,49.6148,50.3852,12019556.0,12206192.0,4.547617532412737,10.171449444523752,14772553.0
88,Algeria,1988,18411373.9942637,3239945246.42916,24904931.0,2.7649781500280803,50.4382,49.5618,12561599.0,12343332.0,4.410947186527708,10.456611972759413,15326779.0
89,Algeria,1989,21885147.741673604,3817383321.6161,25576596.0,2.66118985892781,51.2616,48.7384,13110972.0,12465624.0,4.280497504950805,10.738617985170505,15875715.0
90,Algeria,1990,17587690.324291598,5366959223.72065,26239708.0,2.5596121382510097,52.085,47.915,13666952.0,12572756.0,4.153121896336949,11.01703292550824,16415780.0
91,Algeria,1991,14248050.161251199,4875538939.31578,26893663.0,2.46168466819908,52.8674,47.1326,14217980.0,12675683.0,3.952670497166233,11.291603197662216,16998338.0
92,Algeria,1992,13824657.5022129,4649374268.35539,27535151.0,2.35727239817709,53.6498,46.3502,14772553.0,12762598.0,3.8263571140062975,11.560939061358507,17573970.0
93,Algeria,1993,9911174.44706516,4674242136.13575,28157560.0,2.23524731794854,54.4322,45.5678,15326779.0,12830781.0,3.683062793490346,11.822264394938154,18144298.0
94,Algeria,1994,7642686.80459183,4070855194.3077703,28752749.0,2.09175002551746,55.2146,44.7854,15875715.0,12877034.0,3.518902322092813,12.072161109105108,18712295.0
95,Algeria,1995,6357171.16638083,4617201178.58829,29315463.0,1.93817441899782,55.997,44.003,16415780.0,12899683.0,3.3452484204510933,12.308422833726606,19281301.0
96,Algeria,1996,7878086.96846624,6204023167.30484,29845208.0,1.79091666843351,56.955,43.045,16998338.0,12846870.0,3.4872507231950256,12.530842157414328,19922642.0
97,Algeria,1997,6978139.75317085,6157509914.00526,30345466.0,1.66228249629071,57.913000000000004,42.086999999999996,17573970.0,12771496.0,3.3303255433882573,12.740881036553107,20569118.0
98,Algeria,1998,16461141.1884045,4545972550.0364895,30820435.0,1.5530828103083403,58.871,41.129,18144298.0,12676137.0,3.1937521567788054,12.940302048082495,21230520.0
99,Algeria,1999,10191291.6751813,5506574005.5156,31276295.0,1.46825183663181,59.82899999999999,40.171,18712295.0,12564000.0,3.082444286919261,13.131699933661945,21920059.0
100,Algeria,2000,14930286.8517096,11568377706.0842,31719449.0,1.40695635015297,60.787,39.213,19281301.0,12438148.0,2.9954971716972545,13.317763063978436,22648187.0
101,Algeria,2001,12943470.5688554,9954599687.202559,32150198.0,1.3488583424315301,61.9674,38.0326,19922642.0,12227556.0,3.2721107725001275,13.498617817226062,23380708.0
102,Algeria,2002,13214861.16206,9283903475.6735,32572977.0,1.30644089467674,63.1478,36.8522,20569118.0,12003859.0,3.1933950884051288,13.676126277427429,24154838.0
103,Algeria,2003,17924826.578594603,14608909505.6359,33003442.0,1.31288408147539,64.3282,35.67180000000001,21230520.0,11772922.0,3.164894428833273,13.85686179011983,20277.0
104,Algeria,2004,25268845.7460285,18526215884.7152,33461345.0,1.37790329436379,65.5086,34.4914,21920059.0,11541286.0,3.1962384625757534,14.049117451946895,20764.0
105,Algeria,2005,53399379.348925896,29557893083.4503,33960903.0,1.48190591944047,66.689,33.31100000000001,22648187.0,11312716.0,3.2677650893196946,14.258862428308715,21222.0
106,Algeria,2006,87834830.6356996,32451516483.8248,34507214.0,1.59584524322855,67.756,32.244,23380708.0,11126506.0,3.18314333027521,14.488237171143785,21657.0
107,Algeria,2007,160464323.03808898,34427361883.782005,35097043.0,1.6948478280836103,68.82300000000001,31.17700000000001,24154838.0,10942205.0,3.2573453419913028,14.735883429761437,22061.0
108,American Samoa,1972,0.0,0.0,28490.0,2.03531473549118,71.172,28.828000000000007,20277.0,8213.0,2.5928766164044537,142.45,22448.0
109,American Samoa,1973,0.0,0.0,29014.0,1.8225323606893602,71.566,28.434,20764.0,8250.0,2.3733479178655923,145.07,22874.0
110,American Samoa,1974,0.0,0.0,29491.0,1.63066599354823,71.96,28.04000000000001,21222.0,8269.0,2.1817661486415867,147.455,23415.0
111,American Samoa,1975,0.0,0.0,29932.0,1.48430101659192,72.354,27.646,21657.0,8275.0,2.0290348373735023,149.66,24125.0
112,American Samoa,1976,0.0,0.0,30325.0,1.3044312612001698,72.7492,27.2508,22061.0,8264.0,1.8482615888492413,151.625,25121.0
113,American Samoa,1977,0.0,0.0,30690.0,1.1964413801531102,73.1444,26.855599999999995,22448.0,8242.0,1.7390179646479198,153.45,26299.0
114,American Samoa,1978,0.0,0.0,31105.0,1.3431709335338402,73.5396,26.46040000000001,22874.0,8231.0,1.8799370998919755,155.525,27626.0
115,American Samoa,1979,0.0,0.0,31670.0,1.80012825835654,73.9348,26.065200000000004,23415.0,8255.0,2.3375948276480054,158.35,29047.0
116,American Samoa,1980,0.0,0.0,32456.0,2.45154653535978,74.33,25.67,24125.0,8331.0,2.9871804589544584,162.28,30519.0
117,American Samoa,1981,0.0,0.0,33488.0,3.1301839799497597,75.0164,24.9836,25121.0,8367.0,4.045550249979174,167.44,32014.0
118,American Samoa,1982,0.0,0.0,34740.0,3.67045951093149,75.7028,24.297200000000004,26299.0,8441.0,4.582676592230364,173.7,33549.0
119,American Samoa,1983,0.0,0.0,36165.0,4.0200039488285,76.3892,23.6108,27626.0,8539.0,4.922644263062296,180.825,35095.0
120,American Samoa,1984,0.0,0.0,37687.0,4.1223407099811205,77.0756,22.92440000000001,29047.0,8640.0,5.015784946366324,188.435,36614.0
121,American Samoa,1985,0.0,0.0,39247.0,4.05598007851835,77.762,22.238000000000003,30519.0,8728.0,4.943423273828955,196.235,38081.0
122,American Samoa,1986,0.0,0.0,40835.0,3.9664548624000604,78.3992,21.60080000000001,32014.0,8821.0,4.7823866644784845,204.175,39581.0
123,American Samoa,1987,0.0,0.0,42448.0,3.87402405851449,79.0364,20.9636,33549.0,8899.0,4.683374958965522,212.24,41007.0
124,American Samoa,1988,0.0,0.0,44049.0,3.70228532535263,79.6736,20.326400000000007,35095.0,8954.0,4.505161346822376,220.245,42379.0
125,American Samoa,1989,0.0,0.0,45591.0,3.44076779706675,80.3108,19.6892,36614.0,8977.0,4.237201074643811,227.955,43732.0
126,American Samoa,1990,0.0,0.0,47044.0,3.13730053692123,80.94800000000001,19.052000000000007,38081.0,8963.0,3.9284789153742277,235.22,45091.0
127,American Samoa,1991,0.0,0.0,48379.0,2.7982501281247503,81.8144,18.185599999999994,39581.0,8798.0,3.863373505819015,241.895,46364.0
128,American Samoa,1992,0.0,0.0,49597.0,2.4864512760653303,82.6808,17.319199999999995,41007.0,8590.0,3.5393578697870183,247.985,47621.0
129,American Samoa,1993,0.0,0.0,50725.0,2.24885376811874,83.5472,16.452799999999996,42379.0,8346.0,3.291017268727056,253.625,48840.0
130,American Samoa,1994,0.0,0.0,51807.0,2.11063895587642,84.4136,15.586399999999998,43732.0,8075.0,3.1427143046342088,259.035,49995.0
131,American Samoa,1995,0.0,0.0,52874.0,2.03864493874044,85.28,14.72,45091.0,7783.0,3.0602570481318483,264.37,51060.0
132,American Samoa,1996,0.0,0.0,53926.0,1.97010117196854,85.9772,14.022800000000005,46364.0,7562.0,2.784062597294166,269.63,51933.0
133,American Samoa,1997,0.0,0.0,54942.0,1.86653469759177,86.6744,13.325599999999996,47621.0,7321.0,2.6750544391738518,274.71,52723.0
134,American Samoa,1998,0.0,0.0,55899.0,1.7268407559735302,87.3716,12.6284,48840.0,7059.0,2.5275808824266983,279.495,53369.0
135,American Samoa,1999,0.0,0.0,56768.0,1.5426295773729097,88.0688,11.931200000000004,49995.0,6773.0,2.3373351185308797,283.84,53798.0
136,American Samoa,2000,0.0,0.0,57522.0,1.31946966358002,88.766,11.233999999999995,51060.0,6462.0,2.1078411385525166,287.61,53964.0
137,American Samoa,2001,0.0,0.0,58176.0,1.1305415232099298,89.2694,10.730599999999997,51933.0,6243.0,1.6953014449364374,290.88,53738.0
138,American Samoa,2002,0.0,0.0,58729.0,0.946074376140603,89.7728,10.227199999999996,52723.0,6006.0,1.5097366713162683,293.645,53263.0
139,American Samoa,2003,0.0,0.0,59117.0,0.658488878700854,90.2762,9.723799999999997,53369.0,5748.0,1.2178260076215497,295.585,22319.0
140,American Samoa,2004,0.0,0.0,59262.0,0.244976005061715,90.7796,9.220399999999998,53798.0,5464.0,0.8006238703471711,296.31,23831.0
141,American Samoa,2005,0.0,0.0,59117.0,-0.24497600506170802,91.28299999999999,8.716999999999999,53964.0,5153.0,0.3080865821018633,295.585,25333.0
142,American Samoa,2006,0.0,0.0,58652.0,-0.78968559885954,91.62200000000001,8.378,53738.0,4914.0,-0.4196771308041019,293.26,26792.0
143,American Samoa,2007,0.0,0.0,57919.0,-1.25761923797873,91.961,8.039000000000001,53263.0,4656.0,-0.8878480018830622,289.595,28035.0
144,Andorra,1972,0.0,0.0,26892.0,5.0800215097456105,82.9938,17.006200000000007,22319.0,4573.0,6.808438539723769,57.217021276595744,29222.0
145,Andorra,1973,0.0,0.0,28231.0,4.85918203397541,84.4132,15.586799999999995,23831.0,4400.0,6.5548920499178776,60.06595744680851,30418.0
146,Andorra,1974,0.0,0.0,29514.0,4.44440620947133,85.8326,14.1674,25333.0,4181.0,6.112063949569173,62.79574468085106,31721.0
147,Andorra,1975,0.0,0.0,30706.0,3.9593348195449596,87.25200000000001,12.748000000000005,26792.0,3914.0,5.599544185498479,65.33191489361703,33201.0
148,Andorra,1976,0.0,0.0,31781.0,3.44105517078338,88.2144,11.785600000000002,28035.0,3746.0,4.535039408373231,67.61914893617022,34758.0
149,Andorra,1977,0.0,0.0,32769.0,3.0614319584974505,89.1768,10.8232,29222.0,3547.0,4.146812067425676,69.72127659574468,36492.0
150,Andorra,1978,0.0,0.0,33746.0,2.9378945246630095,90.1392,9.860799999999998,30418.0,3328.0,4.011268820028433,71.8,38378.0
151,Andorra,1979,0.0,0.0,34819.0,3.1301323024556695,91.1016,8.898399999999993,31721.0,3098.0,4.1944383670738965,74.08297872340424,40372.0
152,Andorra,1980,0.0,0.0,36063.0,3.5104194189524502,92.064,7.936000000000008,33201.0,2862.0,4.560107382984188,76.72978723404255,42438.0
153,Andorra,1981,0.0,0.0,37502.0,3.9126855897299904,92.68299999999999,7.316999999999991,34758.0,2744.0,4.582976539178413,79.79148936170213,44222.0
154,Andorra,1982,0.0,0.0,39112.0,4.20350603888175,93.302,6.6979999999999915,36492.0,2620.0,4.868329714068573,83.21702127659573,46026.0
155,Andorra,1983,0.0,0.0,40862.0,4.37712105412758,93.921,6.0789999999999935,38378.0,2484.0,5.039132026432281,86.9404255319149,47854.0
156,Andorra,1984,0.0,0.0,42704.0,4.409205684454809,94.54,5.459999999999994,40372.0,2332.0,5.065209662906239,90.8595744680851,49722.0
157,Andorra,1985,0.0,0.0,44597.0,4.33739995274962,95.15899999999999,4.840999999999994,42438.0,2159.0,4.990771190529487,94.8872340425532,51628.0
158,Andorra,1986,0.0,0.0,46515.0,4.21082490308574,95.0696,4.930400000000006,44222.0,2293.0,4.117821552805631,98.96808510638296,53558.0
159,Andorra,1987,0.0,0.0,48458.0,4.09226021647152,94.9802,5.0198000000000045,46026.0,2432.0,3.998405139525007,103.10212765957445,55542.0
160,Andorra,1988,0.0,0.0,50431.0,3.9908621973382803,94.8908,5.109200000000001,47854.0,2577.0,3.894825476627118,107.3,57392.0
161,Andorra,1989,0.0,0.0,52449.0,3.9235203525001494,94.8014,5.198599999999999,49722.0,2727.0,3.829278212347506,111.59361702127659,58864.0
162,Andorra,1990,0.0,0.0,54511.0,3.85612472820469,94.712,5.287999999999997,51628.0,2883.0,3.7616669877980935,115.9808510638298,59806.0
163,Andorra,1991,0.0,0.0,56674.0,3.89130356082097,94.5018,5.498199999999998,53558.0,3116.0,3.670101785334969,120.58297872340424,60037.0
164,Andorra,1992,0.0,0.0,58904.0,3.8593448292537897,94.2916,5.7083999999999975,55542.0,3362.0,3.637431248683844,125.32765957446807,59703.0
165,Andorra,1993,0.0,0.0,61003.0,3.50140432254517,94.0814,5.918599999999998,57392.0,3611.0,3.276542947679755,129.7936170212766,59270.0
166,Andorra,1994,0.0,0.0,62707.0,2.7550040858642,93.8712,6.128799999999997,58864.0,3843.0,2.532477757249179,133.41914893617022,59373.0
167,Andorra,1995,0.0,0.0,63854.0,1.8126143194312598,93.661,6.338999999999999,59806.0,4048.0,1.5876292009163957,135.8595744680851,60425.0
168,Andorra,1996,0.0,0.0,64274.0,0.6555967537521611,93.4078,6.5922000000000045,60037.0,4237.0,0.3855048456428053,136.7531914893617,62543.0
169,Andorra,1997,0.0,0.0,64090.0,-0.286684936620815,93.1546,6.845399999999998,59703.0,4387.0,-0.5578768435724852,136.36170212765956,65589.0
170,Andorra,1998,0.0,0.0,63799.0,-0.455082926942068,92.9014,7.098600000000005,59270.0,4529.0,-0.7278994592538963,135.74255319148935,68937.0
